iter	Passed	Remaining
479	685	742
480	685	739
481	687	739
482	689	738
483	690	736
484	691	734
485	692	732
486	692	729
487	693	727
488	694	725
489	694	723
490	695	720
491	696	718
492	696	716
493	697	714
494	698	712
495	699	710
496	699	708
497	700	706
498	701	704
499	702	702
500	705	702
501	705	700
502	706	698
503	707	696
504	707	693
505	708	691
506	709	689
507	710	687
508	711	685
509	711	683
510	712	681
511	713	679
512	714	677
513	714	676
514	715	674
515	716	672
516	717	670
517	718	668
518	720	667
519	721	665
520	721	663
521	722	661
522	723	659
523	724	657
524	725	656
525	725	654
526	726	652
527	727	650
528	728	648
529	729	646
530	730	644
531	731	643
532	732	641
533	732	639
534	733	637
535	734	635
536	735	634
537	736	632
538	737	630
539	738	628
540	738	626
541	739	625
542	740	623
543	741	621
544	742	619
545	743	618
546	744	616
547	745	614
548	746	613
549	747	611
550	748	609
551	749	608
552	750	606
553	751	604
554	752	603
555	752	601
556	753	599
557	754	597
558	755	596
559	756	594
560	757	592
561	758	590
562	758	589
563	759	587
564	760	585
565	761	584
566	762	582
567	763	580
568	764	578
569	765	577
570	766	575
571	766	573
572	767	572
573	768	570
574	769	568
575	770	567
576	771	565
577	772	563
578	772	561
579	773	560
580	774	558
581	775	556
582	776	555
583	777	553
584	779	552
585	780	551
586	780	549
587	781	547
588	782	546
589	783	544
590	784	542
591	785	541
592	786	539
593	787	537
594	787	536
595	788	534
596	789	533
597	790	531
598	791	529
599	791	527
600	792	526
601	793	524
602	794	522
603	795	521
604	795	519
605	796	517
606	797	516
607	798	514
608	798	512
609	799	511
610	800	509
611	801	507
612	801	506
613	802	504
614	803	502
615	803	501
616	804	499
617	805	497
618	806	496
619	807	495
620	808	493
621	809	491
622	809	490
623	810	488
624	811	486
625	812	485
626	812	483
627	813	481
628	814	480
629	814	478
630	815	476
631	816	475
632	816	473
633	817	472
634	818	470
635	819	468
636	820	467
637	820	465
638	821	464
639	822	462
640	822	460
641	823	459
642	824	457
643	825	456
644	825	454
645	826	453
646	827	451
647	828	450
648	829	448
649	830	447
650	831	445
651	832	444
652	833	442
653	834	441
654	835	440
655	836	438
656	838	437
657	838	436
658	839	434
659	840	433
660	841	431
661	842	430
662	843	428
663	844	427
664	845	426
665	846	424
666	847	423
667	848	421
668	849	420
669	850	419
670	851	417
671	852	416
672	853	414
673	854	413
674	854	411
675	855	410
676	856	408
677	857	407
678	858	405
679	858	404
680	859	402
681	860	401
682	861	399
683	861	398
684	862	396
685	863	395
686	864	393
687	865	392
688	866	391
689	868	389
690	868	388
691	869	387
692	870	385
693	871	384
694	871	382
695	872	381
696	873	379
697	874	378
698	875	376
699	875	375
700	876	373
701	877	372
702	878	371
703	879	369
704	880	368
705	881	366
706	882	365
707	883	364
708	884	362
709	884	361
710	885	360
711	886	358
712	887	357
713	888	355
714	888	354
715	889	352
716	890	351
717	891	350
718	892	348
719	893	347
720	894	346
721	896	345
722	897	343
723	898	342
724	898	340
725	899	339
726	900	338
727	901	336
728	901	335
729	902	333
730	903	332
731	904	331
732	905	329
733	905	328
734	906	326
735	907	325
736	908	324
737	908	322
738	909	321
739	910	319
740	911	318
741	911	317
742	912	315
743	913	314
744	914	312
745	914	311
746	915	310
747	916	308
748	917	307
749	918	306
750	918	304
751	919	303
752	920	301
753	920	300
754	921	299
755	922	297
756	924	296
757	925	295
758	926	294
759	927	292
760	928	291
761	929	290
762	929	288
763	930	287
764	931	286
765	932	284
766	933	283
767	933	282
768	934	280
769	935	279
770	936	278
771	937	276
772	938	275
773	939	274
774	939	272
775	940	271
776	941	270
777	942	268
778	943	267
779	944	266
780	944	264
781	945	263
782	947	262
783	948	261
784	948	259
785	950	258
786	951	257
787	953	256
788	954	255
789	956	254
790	958	253
791	959	252
792	961	250
793	962	249
794	964	248
795	965	247
796	967	246
797	969	245
798	971	244
799	972	243
800	974	242
801	975	240
802	977	239
803	979	238
804	980	237
805	982	236
806	984	235
807	986	234
808	988	233
809	990	232
810	991	231
811	995	230
812	1001	230
813	1004	229
814	1007	228
815	1009	227
816	1011	226
817	1016	226
818	1019	225
819	1023	224
820	1025	223
821	1029	222
822	1033	222
823	1035	221
824	1038	220
825	1040	219
826	1042	218
827	1046	217
828	1047	216
829	1049	214
830	1051	213
831	1052	212
832	1054	211
833	1055	210
834	1058	209
835	1060	208
836	1062	206
837	1064	205
838	1066	204
839	1067	203
840	1069	202
841	1070	200
842	1074	200
843	1076	198
844	1078	197
845	1080	196
846	1082	195
847	1085	194
848	1088	193
849	1091	192
850	1092	191
851	1094	190
852	1095	188
853	1097	187
854	1098	186
855	1100	185
856	1104	184
857	1106	183
858	1108	181
859	1110	180
860	1111	179
861	1113	178
862	1115	177
863	1118	176
864	1120	174
865	1122	173
866	1123	172
867	1124	171
868	1126	169
869	1127	168
870	1129	167
871	1131	166
872	1134	164
873	1135	163
874	1137	162
875	1138	161
876	1140	159
877	1141	158
878	1143	157
879	1144	156
880	1148	155
881	1149	153
882	1150	152
883	1152	151
884	1153	149
885	1155	148
886	1156	147
887	1157	146
888	1159	144
889	1162	143
890	1164	142
891	1166	141
892	1167	139
893	1169	138
894	1170	137
895	1172	136
896	1174	134
897	1176	133
898	1178	132
899	1180	131
900	1182	129
901	1183	128
902	1185	127
903	1187	126
904	1188	124
905	1191	123
906	1193	122
907	1195	121
908	1196	119
909	1197	118
910	1199	117
911	1200	115
912	1202	114
913	1205	113
914	1209	112
915	1210	111
916	1212	109
917	1213	108
918	1214	107
919	1216	105
920	1218	104
921	1220	103
922	1223	102
923	1224	100
924	1226	99
925	1227	98
926	1229	96
927	1231	95
928	1232	94
929	1233	92
930	1236	91
931	1239	90
932	1240	89
933	1242	87
934	1243	86
935	1245	85
936	1246	83
937	1248	82
938	1250	81
939	1253	79
940	1254	78
941	1255	77
942	1257	75
943	1258	74
944	1260	73
945	1261	72
946	1263	70
947	1264	69
948	1267	68
949	1268	66
950	1270	65
951	1272	64
952	1273	62
953	1275	61
954	1276	60
955	1278	58
956	1281	57
957	1283	56
958	1284	54
959	1286	53
